x,y,year_start,year_end,fire_count,burned_acres,us_fire_count,canada_fire_count,regions,source_ids,coverage_note
1,5,1992,2020,1,17,1,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
2,5,1992,2020,5,105128,5,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
3,5,1992,2020,16,9569,16,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
4,5,1992,2020,11,260861,11,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
5,5,1992,2020,5,2800,5,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
9,5,1992,2020,17,695,0,17,NT,nrcan-nfdb-all-fire-points-2026-06-08,FPA FOD and NFDB are source-covered but not cross-country comparable
10,5,1992,2020,9,20044,0,9,NT,nrcan-nfdb-all-fire-points-2026-06-08,FPA FOD and NFDB are source-covered but not cross-country comparable
0,6,1992,2020,2,14572,2,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
1,6,1992,2020,66,182399,66,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
2,6,1992,2020,210,196552,210,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
3,6,1992,2020,169,294039,169,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
4,6,1992,2020,196,911325,196,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
5,6,1992,2020,149,1441669,149,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
6,6,1992,2020,254,1963366,254,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
7,6,1992,2020,111,1189352,32,79,AK; PC; YT,nrcan-nfdb-all-fire-points-2026-06-08;usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
8,6,1992,2020,172,792922,0,172,NT; YT,nrcan-nfdb-all-fire-points-2026-06-08,FPA FOD and NFDB are source-covered but not cross-country comparable
9,6,1992,2020,225,1721624,0,225,NT; YT,nrcan-nfdb-all-fire-points-2026-06-08,FPA FOD and NFDB are source-covered but not cross-country comparable
10,6,1992,2020,100,266369,0,100,NT,nrcan-nfdb-all-fire-points-2026-06-08,FPA FOD and NFDB are source-covered but not cross-country comparable
11,6,1992,2020,46,144880,0,46,NT,nrcan-nfdb-all-fire-points-2026-06-08,FPA FOD and NFDB are source-covered but not cross-country comparable
12,6,1992,2020,2,2390,0,2,NT,nrcan-nfdb-all-fire-points-2026-06-08,FPA FOD and NFDB are source-covered but not cross-country comparable
13,6,1992,2020,1,321,0,1,NT,nrcan-nfdb-all-fire-points-2026-06-08,FPA FOD and NFDB are source-covered but not cross-country comparable
0,7,1992,2020,5,108,5,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
1,7,1992,2020,111,160327,111,0,AK,usfs-fpa-fod-1992-2020,FPA FOD and NFDB are source-covered but not cross-country comparable
