geography,year,fire_count,burned_acres,records_with_coordinates,source_id,coverage_status,comparable_to_other_geography
Canada,1950,1494,1519028,1494,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1951,1875,1262462,1875,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1952,1771,412829,1771,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1953,1347,1463090,1347,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1954,767,23705,767,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1955,1350,297225,1350,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1956,1911,562695,1911,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1957,1351,235312,1351,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1958,3135,4314626,3135,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1959,1632,710739,1632,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1960,2856,1477298,2856,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1961,4219,6864824,4219,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1962,1957,803411,1957,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1963,3047,432129,3047,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1964,1712,2814359,1712,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1965,3177,519833,3177,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1966,2718,1229227,2718,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1967,4421,1455451,4421,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1968,2767,3122029,2767,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1969,3550,3508293,3550,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1970,5540,3587348,5540,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1971,4865,4794543,4865,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1972,4875,1870823,4875,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1973,5154,2560198,5154,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1974,5021,2254026,5021,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1975,6339,2458716,6339,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1976,8286,5395607,8286,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,1977,7057,3443420,7057,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
