year,geography,burned_area_ha,burned_area_acres,fire_count,source_dataset,source_version,source_url,as_of_date,status,complete
1972,Canada,587967.2363103372,1452898.682,,NRCan CFS National Burned Area Composite (NBAC),20260513,https://cwfis.cfs.nrcan.gc.ca/downloads/nbac/NBAC_summarystats_1972_to_2025_20260513.xlsx,2026-05-13,annual_complete_revisionable,true
1973,Canada,1821107.9164061123,4500055.664,,NRCan CFS National Burned Area Composite (NBAC),20260513,https://cwfis.cfs.nrcan.gc.ca/downloads/nbac/NBAC_summarystats_1972_to_2025_20260513.xlsx,2026-05-13,annual_complete_revisionable,true
1974,Canada,899596.11061893601,2222950.401,,NRCan CFS National Burned Area Composite (NBAC),20260513,https://cwfis.cfs.nrcan.gc.ca/downloads/nbac/NBAC_summarystats_1972_to_2025_20260513.xlsx,2026-05-13,annual_complete_revisionable,true
1975,Canada,798909.41448322299,1974148.156,,NRCan CFS National Burned Area Composite (NBAC),20260513,https://cwfis.cfs.nrcan.gc.ca/downloads/nbac/NBAC_summarystats_1972_to_2025_20260513.xlsx,2026-05-13,annual_complete_revisionable,true
1976,Canada,2305888.5350469816,5697974.661,,NRCan CFS National Burned Area Composite (NBAC),20260513,https://cwfis.cfs.nrcan.gc.ca/downloads/nbac/NBAC_summarystats_1972_to_2025_20260513.xlsx,2026-05-13,annual_complete_revisionable,true
1977,Canada,1187695.9058477301,2934860.499,,NRCan CFS National Burned Area Composite (NBAC),20260513,https://cwfis.cfs.nrcan.gc.ca/downloads/nbac/NBAC_summarystats_1972_to_2025_20260513.xlsx,2026-05-13,annual_complete_revisionable,true
1978,Canada,251734.69890301427,622049.988,,NRCan CFS National Burned Area Composite (NBAC),20260513,https://cwfis.cfs.nrcan.gc.ca/downloads/nbac/NBAC_summarystats_1972_to_2025_20260513.xlsx,2026-05-13,annual_complete_revisionable,true
1979,Canada,2524932.0961351949,6239243.088,,NRCan CFS National Burned Area Composite (NBAC),20260513,https://cwfis.cfs.nrcan.gc.ca/downloads/nbac/NBAC_summarystats_1972_to_2025_20260513.xlsx,2026-05-13,annual_complete_revisionable,true
1980,Canada,4724178.4459697902,11673699.170,,NRCan CFS National Burned Area Composite (NBAC),20260513,https://cwfis.cfs.nrcan.gc.ca/downloads/nbac/NBAC_summarystats_1972_to_2025_20260513.xlsx,2026-05-13,annual_complete_revisionable,true
1981,Canada,5115169.3544124691,12639858.746,,NRCan CFS National Burned Area Composite (NBAC),20260513,https://cwfis.cfs.nrcan.gc.ca/downloads/nbac/NBAC_summarystats_1972_to_2025_20260513.xlsx,2026-05-13,annual_complete_revisionable,true
