year,geography,record_count,burned_acres,named_record_count,records_with_coordinates,certified_or_final_count,records_with_unknown_month,source_id,source_scope,coverage_tier,coverage_status,provisional,comparable_over_time,causal_smoke_attribution
1950,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1951,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1952,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1953,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1954,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1955,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1956,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1957,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1958,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1959,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1960,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1961,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1962,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1963,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1964,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1965,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1966,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1967,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1968,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1969,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1970,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1971,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1972,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1973,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1974,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1975,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1976,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1977,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1978,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1979,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1980,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1981,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1982,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1983,United States,,,,,,0,,,none,no_national_incident_catalog,false,false,false
1984,United States,142,984115,142,142,142,0,mtbs-fire-occurrence,"mapped wildfires at least 500 acres in the East or 1,000 acres in the West",large_fires_only,complete_release_year,false,false,false
1985,United States,256,2127242,256,256,256,0,mtbs-fire-occurrence,"mapped wildfires at least 500 acres in the East or 1,000 acres in the West",large_fires_only,complete_release_year,false,false,false
1986,United States,234,1364572,234,234,234,0,mtbs-fire-occurrence,"mapped wildfires at least 500 acres in the East or 1,000 acres in the West",large_fires_only,complete_release_year,false,false,false
1987,United States,378,2017956,378,378,378,0,mtbs-fire-occurrence,"mapped wildfires at least 500 acres in the East or 1,000 acres in the West",large_fires_only,complete_release_year,false,false,false
1988,United States,376,4268877,376,376,376,0,mtbs-fire-occurrence,"mapped wildfires at least 500 acres in the East or 1,000 acres in the West",large_fires_only,complete_release_year,false,false,false
1989,United States,261,1416876,261,261,261,0,mtbs-fire-occurrence,"mapped wildfires at least 500 acres in the East or 1,000 acres in the West",large_fires_only,complete_release_year,false,false,false
1990,United States,219,2474978,219,219,219,0,mtbs-fire-occurrence,"mapped wildfires at least 500 acres in the East or 1,000 acres in the West",large_fires_only,complete_release_year,false,false,false
1991,United States,277,1595015,277,277,277,0,mtbs-fire-occurrence,"mapped wildfires at least 500 acres in the East or 1,000 acres in the West",large_fires_only,complete_release_year,false,false,false
