year,month,geography,record_count,burned_acres,named_record_count,records_with_coordinates,certified_or_final_count,source_id,source_scope,coverage_tier,coverage_status,calendar_window_complete,provisional,comparable_over_time,causal_smoke_attribution
1950,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1950,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1951,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1952,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1953,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1954,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1955,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1956,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1957,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1958,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1959,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1960,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1961,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
