year,geography,rank,fire_name,label_kind,normalized_record_id,source_record_id,region,latitude,longitude,acres,source_dataset,provisional,causal_smoke_attribution
1950,Canada,1,1950TE006,agency_incident_id,nrcan-nfdb:16347,YT-1950-1950TE006,Yukon,60.01028,-131.91611,353947,Canadian National Fire Database large-fire points,false,false
1950,Canada,2,1950-G00113,agency_incident_id,nrcan-nfdb:3686,BC-1950-1950-G00113,British Columbia,56.789,-122.07,246530,Canadian National Fire Database large-fire points,false,false
1950,Canada,3,1950-G00019,agency_incident_id,nrcan-nfdb:3690,BC-1950-1950-G00019,British Columbia,56.568,-120.927,190080,Canadian National Fire Database large-fire points,false,false
1951,Canada,1,1951RR071,agency_incident_id,nrcan-nfdb:16026,YT-1951-1951RR071,Yukon,62.67197,-134.08967,266307,Canadian National Fire Database large-fire points,false,false
1951,Canada,2,1951MA050,agency_incident_id,nrcan-nfdb:16003,YT-1951-1951MA050,Yukon,63.44,-136.8925,99282,Canadian National Fire Database large-fire points,false,false
1951,Canada,3,1951-R00037,agency_incident_id,nrcan-nfdb:6305,BC-1951-1951-R00037,British Columbia,53.963,-131.132,99200,Canadian National Fire Database large-fire points,false,false
1952,Canada,1,52WB001,agency_incident_id,nrcan-nfdb:18601,PC-WB-1952-52WB001,Parks Canada,58.5667,-112.7,160003,Canadian National Fire Database large-fire points,false,false
1952,Canada,2,1952MA010,agency_incident_id,nrcan-nfdb:16004,YT-1952-1952MA010,Yukon,63.50333,-135.15139,61156,Canadian National Fire Database large-fire points,false,false
1952,Canada,3,1952-R00040,agency_incident_id,nrcan-nfdb:3685,BC-1952-1952-R00040,British Columbia,57.905,-131.066,24120,Canadian National Fire Database large-fire points,false,false
1953,Canada,1,53WB017,agency_incident_id,nrcan-nfdb:18602,PC-WB-1953-53WB017,Parks Canada,58.8,-113.05,331507,Canadian National Fire Database large-fire points,false,false
1953,Canada,2,1953RR022,agency_incident_id,nrcan-nfdb:15974,YT-1953-1953RR022,Yukon,62.78333,-131.91667,265786,Canadian National Fire Database large-fire points,false,false
1953,Canada,3,53WB034,agency_incident_id,nrcan-nfdb:18634,PC-WB-1953-53WB034,Parks Canada,58.3333,-112.75,260004,Canadian National Fire Database large-fire points,false,false
1954,Canada,1,1954CA040,agency_incident_id,nrcan-nfdb:16157,YT-1954-1954CA040,Yukon,62.49528,-136.6025,3423,Canadian National Fire Database large-fire points,false,false
1954,Canada,2,1954-G00056,agency_incident_id,nrcan-nfdb:3858,BC-1954-1954-G00056,British Columbia,59.789,-123.808,2450,Canadian National Fire Database large-fire points,false,false
1954,Canada,3,1954CA020,agency_incident_id,nrcan-nfdb:16162,YT-1954-1954CA020,Yukon,62.81778,-137.05722,1920,Canadian National Fire Database large-fire points,false,false
1955,Canada,1,55WB098,agency_incident_id,nrcan-nfdb:18320,PC-WB-1955-55WB098,Parks Canada,59.7667,-115.0667,60002,Canadian National Fire Database large-fire points,false,false
1955,Canada,2,1955MA034,agency_incident_id,nrcan-nfdb:16008,YT-1955-1955MA034,Yukon,63.46694,-136.28194,50123,Canadian National Fire Database large-fire points,false,false
1955,Canada,3,1955DA060,agency_incident_id,nrcan-nfdb:15943,YT-1955-1955DA060,Yukon,63.96823,-135.93114,28141,Canadian National Fire Database large-fire points,false,false
1956,Canada,1,1956-G00126,agency_incident_id,nrcan-nfdb:4026,BC-1956-1956-G00126,British Columbia,58.155,-123.562,150000,Canadian National Fire Database large-fire points,false,false
1956,Canada,2,1956-G00165,agency_incident_id,nrcan-nfdb:4033,BC-1956-1956-G00165,British Columbia,58.289,-121.868,67072,Canadian National Fire Database large-fire points,false,false
1956,Canada,3,1956-G00125,agency_incident_id,nrcan-nfdb:4030,BC-1956-1956-G00125,British Columbia,58.742,-122.423,65000,Canadian National Fire Database large-fire points,false,false
1957,Canada,1,1957CA080,agency_incident_id,nrcan-nfdb:16035,YT-1957-1957CA080,Yukon,62.74271,-134.38689,43118,Canadian National Fire Database large-fire points,false,false
1957,Canada,2,1957XY015,agency_incident_id,nrcan-nfdb:16031,YT-1957-1957XY015,Yukon,62.5,-133.91972,25228,Canadian National Fire Database large-fire points,false,false
1957,Canada,3,1957DA039,agency_incident_id,nrcan-nfdb:15915,YT-1957-1957DA039,Yukon,64.21676,-140.59044,24946,Canadian National Fire Database large-fire points,false,false
1958,Canada,1,1958-G00117,agency_incident_id,nrcan-nfdb:3874,BC-1958-1958-G00117,British Columbia,59.01,-127.365,706561,Canadian National Fire Database large-fire points,false,false
1958,Canada,2,1958XY008,agency_incident_id,nrcan-nfdb:16166,YT-1958-1958XY008,Yukon,61.47972,-135.72972,331609,Canadian National Fire Database large-fire points,false,false
1958,Canada,3,1958XY026,agency_incident_id,nrcan-nfdb:16314,YT-1958-1958XY026,Yukon,60.13,-133.75,311582,Canadian National Fire Database large-fire points,false,false
1959,Canada,1,1959-G00142,agency_incident_id,nrcan-nfdb:4337,BC-1959-1959-G00142,British Columbia,58.934,-122.618,89480,Canadian National Fire Database large-fire points,false,false
1959,Canada,2,1959MA030,agency_incident_id,nrcan-nfdb:16045,YT-1959-1959MA030,Yukon,63.32372,-134.28011,58037,Canadian National Fire Database large-fire points,false,false
1959,Canada,3,59FGH4,agency_incident_id,nrcan-nfdb:18070,NT-1959-59FGH4,Northwest Territories,66.2,-129.97,35583,Canadian National Fire Database large-fire points,false,false
1960,Canada,1,72,agency_incident_id,nrcan-nfdb:9622,SK-1960-072,Saskatchewan,57.48,-107.57,102858,Canadian National Fire Database large-fire points,false,false
1960,Canada,2,91,agency_incident_id,nrcan-nfdb:9838,SK-1960-091,Saskatchewan,56.1,-103.5,83035,Canadian National Fire Database large-fire points,false,false
1960,Canada,3,188,agency_incident_id,nrcan-nfdb:9587,SK-1960-188,Saskatchewan,57.43,-103.6,64025,Canadian National Fire Database large-fire points,false,false
