year,geography,incident_records,reported_name_records,agency_id_only_records,acres,source_dataset,coverage_scope,source_year_status,source_coverage_complete,comparable_to_other_geography
1946,Canada,7,0,7,414259,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1947,Canada,5,0,5,6978,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1948,Canada,7,0,7,78728,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1950,Canada,61,0,61,1502220,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1951,Canada,119,0,119,1236552,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1952,Canada,57,0,57,386815,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1953,Canada,34,0,34,1453505,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1954,Canada,11,0,11,16415,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1955,Canada,44,0,44,284976,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1956,Canada,73,0,73,541441,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1957,Canada,50,0,50,222281,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1958,Canada,215,0,215,4270580,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1959,Canada,161,0,161,687255,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1960,Canada,256,0,256,1445431,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
