storm_event_id,year,start_date,end_date,state,location,event_type,narrative_smoke_signal,matched_terms,source_file,role,quantitatively_comparable
5536634,1996,1996-02-15,1996-02-15,TEXAS,COLLIN,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5536635,1996,1996-02-21,1996-02-21,TEXAS,DENTON,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5536636,1996,1996-02-22,1996-02-22,TEXAS,PARKER,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5540551,1996,1996-02-24,1996-02-24,KANSAS,SHAWNEE,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5542875,1996,1996-02-25,1996-02-25,KENTUCKY,MCCRACKEN,Wildfire,true,smoke,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5542876,1996,1996-02-25,1996-02-25,ILLINOIS,HARDIN,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5541451,1996,1996-03-02,1996-03-02,TEXAS,ELLIS,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5541452,1996,1996-03-03,1996-03-03,TEXAS,CORYELL,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5540622,1996,1996-03-04,1996-03-05,FLORIDA,MIAMI-DADE,Wildfire,true,smoke,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5547075,1996,1996-03-12,1996-03-19,NEW MEXICO,LINCOLN,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5541461,1996,1996-03-14,1996-03-14,TEXAS,HASKELL,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5540626,1996,1996-03-23,1996-03-24,FLORIDA,MIAMI-DADE,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5547477,1996,1996-04-25,1996-04-30,NEW MEXICO,SANDOVAL,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5547478,1996,1996-04-25,1996-04-28,NEW MEXICO,SOCORRO,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5554914,1996,1996-04-25,1996-04-28,VIRGINIA,CLARKE,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5554915,1996,1996-04-25,1996-04-25,VIRGINIA,NELSON,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5554916,1996,1996-04-25,1996-04-28,VIRGINIA,CLARKE,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5554917,1996,1996-04-25,1996-04-25,VIRGINIA,NELSON,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5547479,1996,1996-04-27,1996-04-28,NEW MEXICO,COLFAX,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5549398,1996,1996-04-28,1996-04-30,CALIFORNIA,VENTURA,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5549399,1996,1996-04-29,1996-04-30,CALIFORNIA,RIVERSIDE,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
5547369,1996,1996-04-30,1996-04-30,ARIZONA,COCONINO,Wildfire,false,,StormEvents_details-ftp_v1.0_d1996_c20260323.csv.gz,incident_candidate_or_corroboration_only,false
