date,year,model_id,monitor_source_tier,valid_monitor_sites,monitored_counties,monitored_county_population,high_pm25_monitor_sites,smoke_coincident_high_pm25_monitor_sites,smoke_coincident_counties,indicative_county_population,broad_proxy_day_10m,event_included_monitor_sites,event_included_smoke_coincident_high_pm25_monitor_sites,balanced_valid_monitor_sites,balanced_high_pm25_monitor_sites,balanced_smoke_coincident_high_pm25_monitor_sites,balanced_smoke_coincident_counties,balanced_indicative_county_population,balanced_broad_proxy_day_10m,comparable_to_stanford
2006-01-01,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,357,250,135792679,2,0,0,0,0,1,0,114,1,0,0,0,0,false
2006-01-02,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,1015,656,224082675,5,0,0,0,0,24,0,116,1,0,0,0,0,false
2006-01-03,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,356,250,137141580,0,0,0,0,0,1,0,113,0,0,0,0,0,false
2006-01-04,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,365,252,141347998,1,0,0,0,0,3,0,112,1,0,0,0,0,false
2006-01-05,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,1171,737,237502716,7,0,0,0,0,24,0,116,1,0,0,0,0,false
2006-01-06,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,372,262,141640001,3,0,0,0,0,4,0,114,1,0,0,0,0,false
2006-01-07,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,367,259,140064823,0,0,0,0,0,4,0,110,0,0,0,0,0,false
2006-01-08,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,1051,678,228623817,2,0,0,0,0,27,0,114,0,0,0,0,0,false
2006-01-09,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,357,253,132759255,0,0,0,0,0,5,0,110,0,0,0,0,0,false
2006-01-10,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,348,244,129996127,1,0,0,0,0,1,0,110,1,0,0,0,0,false
2006-01-11,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,1171,733,238066640,24,0,0,0,0,26,0,115,5,0,0,0,0,false
2006-01-12,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,359,252,137881849,4,0,0,0,0,1,0,112,2,0,0,0,0,false
2006-01-13,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,352,250,137152963,7,0,0,0,0,1,0,113,3,0,0,0,0,false
2006-01-14,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,1058,675,229229390,3,0,0,0,0,27,0,117,0,0,0,0,0,false
2006-01-15,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,353,246,137083994,0,0,0,0,0,1,0,112,0,0,0,0,0,false
2006-01-16,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,348,245,137185320,1,0,0,0,0,0,0,111,0,0,0,0,0,false
2006-01-17,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,1140,717,235766909,6,0,0,0,0,25,0,115,0,0,0,0,0,false
2006-01-18,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,348,244,137754811,0,0,0,0,0,1,0,107,0,0,0,0,0,false
2006-01-19,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,359,252,134375304,1,0,0,0,0,1,0,107,0,0,0,0,0,false
2006-01-20,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,1048,673,228627829,0,0,0,0,0,23,0,114,0,0,0,0,0,false
2006-01-21,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,362,255,134583730,1,0,0,0,0,0,0,115,0,0,0,0,0,false
2006-01-22,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,357,252,132166432,4,0,0,0,0,0,0,113,2,0,0,0,0,false
2006-01-23,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,1168,735,239714493,7,0,0,0,0,26,0,115,2,0,0,0,0,false
2006-01-24,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,350,248,129999522,7,0,0,0,0,1,0,112,4,0,0,0,0,false
2006-01-25,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,363,256,140261539,6,0,0,0,0,0,0,112,2,0,0,0,0,false
2006-01-26,2006,AQS_HMS_MONITOR_COINCIDENCE_V3,final_aqs_daily,1052,673,228509254,15,0,0,0,0,20,0,116,2,0,0,0,0,false
