year,metric_id,model_id,status,monitor_source_tier,as_of_date,calendar_days_in_scope,days_with_valid_monitor_data,high_pm25_monitor_days,smoke_coincident_high_pm25_monitor_site_days,smoke_coincident_high_pm25_county_days,broad_proxy_days_10m,indicative_county_population_days,peak_indicative_county_population,peak_date,event_included_monitor_site_days,event_included_smoke_coincident_high_pm25_site_days,balanced_panel_smoke_coincident_high_pm25_site_days,balanced_panel_broad_proxy_days_10m,balanced_panel_indicative_county_population_days,balanced_panel_peak_indicative_county_population,balanced_panel_peak_date,conceptually_consistent_screen,specific_fire_qualifier_codes_available,comparable_to_stanford,window_start,window_end,identical_monitor_source_to_2026,balanced_panel_sites_defined,balanced_panel_sites_observed
2006,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,fixed_window_jan01_jul18,final_aqs_daily,2006-07-18,199,199,140,112,77,1,58861101,28741153,2006-07-04,1534,4,31,0,25947620,9357318,2006-07-04,true,false,false,2006-01-01,2006-07-18,false,117,117
2007,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,fixed_window_jan01_jul18,final_aqs_daily,2007-07-18,199,199,156,448,303,3,141534523,21505608,2007-05-30,1389,144,67,0,53066748,3979565,2007-05-12,true,false,false,2007-01-01,2007-07-18,false,117,117
2008,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,fixed_window_jan01_jul18,final_aqs_daily,2008-07-18,200,200,146,369,297,8,211018873,23413889,2008-06-27,948,68,82,3,99904439,17315887,2008-07-04,true,false,false,2008-01-01,2008-07-18,false,117,117
2009,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,fixed_window_jan01_jul18,final_aqs_daily,2009-07-18,199,199,106,12,12,0,1423611,843617,2009-06-26,2650,1,1,0,295460,295460,2009-02-24,true,false,false,2009-01-01,2009-07-18,false,117,117
2010,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,fixed_window_jan01_jul18,final_aqs_daily,2010-07-18,199,199,123,42,35,0,20385338,4999539,2010-05-31,5697,4,8,0,6656807,2579705,2010-05-31,true,false,false,2010-01-01,2010-07-18,false,117,117
2011,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,fixed_window_jan01_jul18,final_aqs_daily,2011-07-18,199,199,140,220,174,1,84109990,14695690,2011-06-09,5173,36,39,0,25357122,2483433,2011-06-08,true,false,false,2011-01-01,2011-07-18,false,117,117
2012,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,fixed_window_jan01_jul18,final_aqs_daily,2012-07-18,200,200,137,81,70,0,26246033,2673205,2012-07-05,6263,21,9,0,6018655,966728,2012-04-10,true,false,false,2012-01-01,2012-07-18,false,117,117
2013,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,fixed_window_jan01_jul18,final_aqs_daily,2013-07-18,199,199,110,40,36,2,48816507,20018378,2013-07-05,6888,12,6,1,23611684,17170487,2013-07-05,true,false,false,2013-01-01,2013-07-18,false,117,117
2014,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,fixed_window_jan01_jul18,final_aqs_daily,2014-07-18,199,199,114,66,48,0,17941042,8329897,2014-07-04,6707,20,6,0,4671920,2707303,2014-06-09,true,false,false,2014-01-01,2014-07-18,false,117,117
2015,smoke_coincident_observed_high_pm25_monitored_county_screen,AQS_HMS_MONITOR_COINCIDENCE_V3,fixed_window_jan01_jul18,final_aqs_daily,2015-07-18,199,199,109,197,162,2,47124898,21879440,2015-07-05,4934,89,23,0,12581469,6230290,2015-07-05,true,false,false,2015-01-01,2015-07-18,false,117,117
