year,rank,state_fips,state,high_smoke_population_days,high_smoke_days,peak_population_exposed,model_id
2006,1,53,Washington,453696,12,121278,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2006,2,30,Montana,251856,4,199486,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2006,3,16,Idaho,228562,7,102246,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2006,4,41,Oregon,33732,2,26551,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2006,5,06,California,24432,2,12216,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2007,1,06,California,19166758,6,4678371,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2007,2,12,Florida,12770675,12,4358700,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2007,3,13,Georgia,9670188,13,5532944,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2007,4,30,Montana,2723488,17,367871,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2007,5,01,Alabama,1290995,4,497539,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2007,6,47,Tennessee,936017,1,936017,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2007,7,16,Idaho,121011,9,28615,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2007,8,29,Missouri,71179,1,71179,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2007,9,05,Arkansas,47616,1,47616,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2007,10,41,Oregon,7180,1,7180,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2008,1,06,California,64615066,34,9408831,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2008,2,32,Nevada,4677331,7,698146,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2008,3,37,North Carolina,4428486,5,2700103,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2008,4,51,Virginia,3881635,4,1563759,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2008,5,41,Oregon,975429,4,309897,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2008,6,16,Idaho,750155,1,750155,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2008,7,46,South Dakota,153095,1,153095,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2009,1,41,Oregon,581166,3,290583,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2009,2,13,Georgia,145206,1,145206,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2009,3,40,Oklahoma,117166,2,58583,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2009,4,46,South Dakota,15725,1,15725,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2010,1,25,Massachusetts,3202224,1,3202224,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2010,2,33,New Hampshire,941916,1,941916,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2010,3,23,Maine,897616,1,897616,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2010,4,50,Vermont,367554,1,367554,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2010,5,36,New York,166634,1,166634,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2010,6,53,Washington,43560,1,43560,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2010,7,20,Kansas,41190,1,41190,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2010,8,46,South Dakota,9017,1,9017,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,1,12,Florida,5664223,8,2371248,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,2,13,Georgia,1620689,10,409413,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,3,35,New Mexico,1083302,10,908144,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,4,22,Louisiana,507883,2,460236,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,5,37,North Carolina,244358,3,123967,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,6,30,Montana,225010,5,45002,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,7,20,Kansas,175999,1,175999,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,8,40,Oklahoma,154437,2,110758,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,9,45,South Carolina,127041,3,63865,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,10,41,Oregon,25105,1,25105,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,11,16,Idaho,16108,2,8054,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2011,12,48,Texas,3323,1,3323,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2012,1,53,Washington,4830407,23,897415,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2012,2,16,Idaho,4327172,38,1322866,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2012,3,30,Montana,3622163,33,326725,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2012,4,41,Oregon,1403282,10,269308,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2012,5,48,Texas,846192,1,846192,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2012,6,06,California,669415,4,231711,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2012,7,12,Florida,507509,3,271218,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2012,8,56,Wyoming,188134,3,148038,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2012,9,49,Utah,55864,1,55864,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2013,1,32,Nevada,4786549,16,703660,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2013,2,41,Oregon,3387608,15,378636,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2013,3,06,California,826219,23,86209,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2013,4,48,Texas,408783,1,408783,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2013,5,49,Utah,262658,1,262658,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2013,6,30,Montana,243260,2,121630,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2013,7,16,Idaho,166978,9,31480,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2013,8,13,Georgia,118268,1,118268,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2013,9,53,Washington,22697,1,22697,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2013,10,08,Colorado,16515,3,14969,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2014,1,32,Nevada,1800400,4,644730,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2014,2,41,Oregon,935910,10,436948,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2014,3,06,California,738911,6,296570,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2014,4,53,Washington,683480,4,235778,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2014,5,30,Montana,636551,2,341040,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2014,6,20,Kansas,43776,2,41190,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2014,7,16,Idaho,40755,1,40755,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2014,8,38,North Dakota,10100,1,10100,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,1,41,Oregon,10684081,20,3948689,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,2,53,Washington,10235441,16,2069864,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,3,17,Illinois,7016029,2,6719358,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,4,30,Montana,6167870,19,966362,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,5,16,Idaho,4556545,18,651604,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,6,38,North Dakota,2749015,11,744597,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,7,06,California,2075867,20,886143,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,8,18,Indiana,1552647,1,1552647,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,9,27,Minnesota,1281917,3,925966,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,10,19,Iowa,670287,1,670287,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,11,46,South Dakota,665209,4,607540,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,12,26,Michigan,658708,1,658708,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,13,08,Colorado,360428,1,360428,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
2015,14,32,Nevada,302278,3,204102,STANFORD_ECHO_V2_BETA_COUNTY_FIXED_2020_POP
