zcta,name,state,population_2020,latitude,longitude,land_sq_mi
00601,ZCTA5 00601,PR,17242,18.180555,-66.749961,64.348
00602,ZCTA5 00602,PR,37548,18.361945,-67.175597,30.621
00603,ZCTA5 00603,PR,49804,18.455183,-67.119887,31.617
00606,ZCTA5 00606,PR,5009,18.158327,-66.932928,42.309
00610,ZCTA5 00610,PR,25731,18.294032,-67.127156,35.913
00612,ZCTA5 00612,PR,62425,18.402253,-66.711397,67.593
00616,ZCTA5 00616,PR,9828,18.420412,-66.671979,11.53
00617,ZCTA5 00617,PR,22541,18.447538,-66.557681,15.195
00622,ZCTA5 00622,PR,7838,17.991245,-67.153993,28.993
00623,ZCTA5 00623,PR,39320,18.083044,-67.154179,37.967
00624,ZCTA5 00624,PR,21709,18.064909,-66.716662,43.164
00627,ZCTA5 00627,PR,32873,18.412507,-66.863811,46.355
00631,ZCTA5 00631,PR,1414,18.190607,-66.832041,4.021
00637,ZCTA5 00637,PR,23124,18.076716,-66.947362,34.449
00638,ZCTA5 00638,PR,18109,18.295913,-66.515588,66.045
00641,ZCTA5 00641,PR,24292,18.263097,-66.712963,93.531
00646,ZCTA5 00646,PR,36272,18.43511,-66.281058,20.727
00647,ZCTA5 00647,PR,4611,17.963613,-66.947127,15.205
00650,ZCTA5 00650,PR,13637,18.349103,-66.578175,30.522
00652,ZCTA5 00652,PR,4020,18.44844,-66.59411,6.917
00653,ZCTA5 00653,PR,9244,17.985045,-66.886546,15.242
00656,ZCTA5 00656,PR,17965,18.053539,-66.792931,32.415
00659,ZCTA5 00659,PR,37421,18.406773,-66.809288,41.777
00660,ZCTA5 00660,PR,15448,18.134695,-67.116199,11.346
00662,ZCTA5 00662,PR,40770,18.468301,-67.015749,44.374
00664,ZCTA5 00664,PR,15066,18.21033,-66.591616,45.521
00667,ZCTA5 00667,PR,23522,18.003422,-67.03581,60.313
00669,ZCTA5 00669,PR,27833,18.276925,-66.869587,61.552
00670,ZCTA5 00670,PR,8828,18.240187,-66.988776,45.57
00674,ZCTA5 00674,PR,39345,18.422908,-66.489337,44.955
00676,ZCTA5 00676,PR,36706,18.377637,-67.079574,50.437
00677,ZCTA5 00677,PR,15379,18.332568,-67.227022,14.339
00678,ZCTA5 00678,PR,25410,18.434124,-66.927426,26.361
00680,ZCTA5 00680,PR,46056,18.182055,-67.132502,64.212
00682,ZCTA5 00682,PR,28299,18.221464,-67.156039,14.403
00683,ZCTA5 00683,PR,29788,18.1078,-67.037263,52.189
00685,ZCTA5 00685,PR,40294,18.332929,-66.959689,77.533
00687,ZCTA5 00687,PR,28727,18.318017,-66.420392,38.871
00688,ZCTA5 00688,PR,12443,18.382311,-66.626416,31.818
00690,ZCTA5 00690,PR,5326,18.49551,-67.098671,2.816
00692,ZCTA5 00692,PR,32873,18.410188,-66.336556,26.76
00693,ZCTA5 00693,PR,56095,18.42146,-66.398604,39.312
00694,ZCTA5 00694,PR,231,18.483127,-66.39236,0.799
00698,ZCTA5 00698,PR,33774,18.064848,-66.856319,69.619
00703,ZCTA5 00703,PR,25332,18.248401,-66.130662,29.674
00704,ZCTA5 00704,PR,6865,17.965884,-66.219633,4.877
00705,ZCTA5 00705,PR,24467,18.12896,-66.266691,31.949
00707,ZCTA5 00707,PR,10544,18.014055,-65.920751,21.066
00714,ZCTA5 00714,PR,15802,18.003025,-66.046237,14.62
00715,ZCTA5 00715,PR,2299,18.011233,-66.560065,7.869
00716,ZCTA5 00716,PR,28423,17.991269,-66.606774,8.562
00717,ZCTA5 00717,PR,14199,18.003222,-66.614037,2.102
00718,ZCTA5 00718,PR,23290,18.231988,-65.759623,45.24
00719,ZCTA5 00719,PR,30063,18.28992,-66.25344,28.003
00720,ZCTA5 00720,PR,20331,18.217946,-66.428076,59.607
00723,ZCTA5 00723,PR,15983,18.043498,-66.015479,46.16
00725,ZCTA5 00725,PR,77223,18.218594,-66.042637,42.223
00727,ZCTA5 00727,PR,54207,18.215308,-66.073565,21.497
00728,ZCTA5 00728,PR,36675,17.989853,-66.664116,15.647
