zcta,name,state,population_2020,latitude,longitude,grid_distance_km,smoke_days_aqi101_equiv,mean_smoke_pm25_ug_m3,population_days
01001,ZCTA5 01001,MA,16984,42.062368,-72.625754,6.854,0,0.814,0
01002,ZCTA5 01002,MA,27558,42.364031,-72.458759,6.957,0,0.731,0
01003,ZCTA5 01003,MA,13253,42.389698,-72.524009,1.328,0,0.731,0
01005,ZCTA5 01005,MA,4900,42.418884,-72.112077,4.272,1,0.793,4900
01007,ZCTA5 01007,MA,15423,42.27901,-72.400468,6.689,0,0.78,0
01008,ZCTA5 01008,MA,1317,42.190191,-72.954263,5.719,0,0.851,0
01009,ZCTA5 01009,MA,980,42.209669,-72.339743,4.795,0,0.78,0
01010,ZCTA5 01010,MA,3711,42.128176,-72.205352,5.263,0,0.768,0
01011,ZCTA5 01011,MA,1201,42.290128,-72.966516,6.403,0,0.79,0
01012,ZCTA5 01012,MA,519,42.375425,-72.858192,9.073,0,0.79,0
01013,ZCTA5 01013,MA,23656,42.163451,-72.60274,5.612,0,0.814,0
01020,ZCTA5 01020,MA,29781,42.172611,-72.56192,8.68,0,0.814,0
01022,ZCTA5 01022,MA,2158,42.197741,-72.542713,7.953,0,0.769,0
01026,ZCTA5 01026,MA,1011,42.465495,-72.918267,2.66,0,0.74,0
01027,ZCTA5 01027,MA,17896,42.295008,-72.751877,2.085,0,0.767,0
01028,ZCTA5 01028,MA,16417,42.062378,-72.498111,4.041,0,0.791,0
01029,ZCTA5 01029,MA,714,42.190418,-73.046918,2.996,0,0.851,0
01030,ZCTA5 01030,MA,11708,42.072925,-72.686972,6.622,0,0.814,0
01031,ZCTA5 01031,MA,1406,42.32938,-72.198156,4.312,1,0.777,1406
01032,ZCTA5 01032,MA,483,42.457613,-72.81478,8.058,0,0.74,0
01033,ZCTA5 01033,MA,6092,42.244949,-72.500143,7.228,0,0.769,0
01034,ZCTA5 01034,MA,1977,42.093912,-72.961103,9.646,1,0.888,1977
01035,ZCTA5 01035,MA,5325,42.356491,-72.568632,6.08,0,0.731,0
01036,ZCTA5 01036,MA,4966,42.071188,-72.417718,3.214,0,0.791,0
01037,ZCTA5 01037,MA,706,42.376036,-72.197364,7.871,1,0.777,706
01038,ZCTA5 01038,MA,2522,42.379925,-72.604045,6.799,0,0.731,0
