year,acres_burned
1984,984197
1985,2127749
1986,1365156
1987,2018551
1988,4270969
1989,1417497
1990,2475939
1991,1595479
1992,1247565
1993,1266054
1994,2420416
1995,1145358
1996,4584774
1997,642385
1998,1480242
1999,4933017
2000,6003790
2001,2442842
2002,5790174
2003,3477149
2004,7630591
2005,8370303
2006,7545145
2007,7684193
2008,3685526
2009,3355417
2010,1893474
2011,7764659
2012,8392629
2013,3809791
2014,2654091
2015,9065870
2016,4282890
2017,8902010
2018,7406953
2019,4188865
2020,9650101
2021,7071175
2022,6858789
2023,1944604
2024,4782640
